,Mountain,Metres,Feet,Range,Location,Note,latlng
1160,Choshuenco,2415.0,7923,,"Los Ríos Region, Chile",", Los Ríos Region, Chile","[-39.8358485, -72.0857543]"
1161,Ivis Peak,2414.0,7920,,"Los Ríos Region, Chile",", Los Ríos Region, Chile","[37.17304000000007, -113.64245999999997]"
1162,Ha Ling Peak,2408.0,7900,,"Canadian Rockies, Alberta, Canada",", Canadian Rockies, Alberta, Canada","[51.063950000000034, -115.40206999999998]"
1163,Store Skagastølstind,2405.0,7890,,Norway,", Norway",
1164,Hajla,2403.0,7884,,Kosovo,", Kosovo","[42.760110000000054, 20.121170000000063]"
1165,Le Tabor,2389.0,7838,,"Dauphine Alps, France",", Dauphine Alps, France","[44.97643000000005, 5.853080000000034]"
1166,Kirigalpottha,2388.0,7835,,Sri Lanka,", Sri Lanka","[7.5142798, 80.6227173]"
1167,Maglić,2386.0,7828,,Bosnia and Herzegovina – Highest in Bosnia and Herzegovina,", Bosnia and Herzegovina – Highest in Bosnia and Herzegovina","[45.3628705, 19.5317659]"
1168,Emory Peak,2385.0,7825,,"Texas, US",", Texas, US","[29.245900000000063, -103.30509999999998]"
1169,Mount Cayley,2385.0,7825,,"British Columbia, Canada",", British Columbia, Canada","[50.11964000000006, -123.29020999999995]"
1170,Mount Galwey,2377.0,7799,,"Canadian Rockies, Canada",", Canadian Rockies, Canada","[49.11961000000008, -113.94504999999998]"
1171,Botev Peak,2376.0,7795,,"Balkan Mountain, Bulgaria",", Balkan Mountain, Bulgaria","[-62.75443999999993, -60.31416999999993]"
1172,Mount Mulu,2376.0,7795,,"Gunung Mulu National Park, Sarawak, Malaysia",", Gunung Mulu National Park, Sarawak, Malaysia","[4.045530000000042, 114.92987000000005]"
1173,Mount Deception,2374.0,7789,,"Washington, US",", Washington, US","[63.158330000000035, -150.53082999999998]"
