,Mountain,Metres,Feet,Range,Location,Note,latlng
342,Gunshar,4950.0,16240,,"Kohistan District, Pakistan",", Kohistan District, Pakistan","[31.337104, 77.304218]"
343,Mount Sanford,4949.0,16237,,"Wrangell Mtns., Alaska, US",", Wrangell Mtns., Alaska, US","[62.21389000000005, -144.12888999999996]"
344,Pico Humboldt,4940.0,16207,,"Sierra Nevada de Mérida, Andes, Venezuela",", Sierra Nevada de Mérida, Andes, Venezuela","[8.550000000000068, -70.98332999999997]"
345,Pin Bhaba Pass,4930.0,16175,,"Pin Valley/Spiti Valley, Himalayas, India",", Pin Valley/Spiti Valley, Himalayas, India","[-6.278941, -35.378036]"
346,Vinson Massif,4892.0,16050,,"Sentinel Range, Ellsworth Mountains, Antarctica – Highest in Antarctica",", Sentinel Range, Ellsworth Mountains, Antarctica – Highest in Antarctica","[-78.58332999999999, -85.41666999999995]"
347,Pico Bonpland,4890.0,16043,,"Sierra Nevada de Mérida, Andes, Venezuela",", Sierra Nevada de Mérida, Andes, Venezuela","[8.529930000000036, -71.03192999999999]"
348,Puncak Jaya,4884.0,16024,,"Sudirman Range, Papua, Indonesia – Highest in Indonesia",", Sudirman Range, Papua, Indonesia – Highest in Indonesia","[-3.4646603462538508, 137.8444938157332]"
349,Pico La Concha,4870.0,15978,,"Sierra Nevada de Mérida, Andes, Venezuela",", Sierra Nevada de Mérida, Andes, Venezuela","[8.554820000000063, -71.02703999999994]"
350,Gistola,4860.0,15945,,"Caucasus Mountains, Svaneti, Georgia",", Caucasus Mountains, Svaneti, Georgia","[39.8913308, -8.6069106]"
351,Tetnuldi,4858.0,15938,,"Caucasus Mountains, Svaneti, Georgia",", Caucasus Mountains, Svaneti, Georgia","[43.0425022, 42.714717]"
352,Mount Tyree,4852.0,15919,,"Sentinel Range, Ellsworth Mountains, Antarctica – Second highest in Antarctica",", Sentinel Range, Ellsworth Mountains, Antarctica – Second highest in Antarctica","[-78.39999999999998, -85.91666999999995]"
353,Huaynaputina,4850.0,15912,,"Andes, Peru",", Andes, Peru",
354,Alam Kuh,4850.0,15912,,"Alborz, Iran – Second highest in Iran",", Alborz, Iran – Second highest in Iran","[28.567510000000027, 58.257670000000076]"
355,Mount Wood,4842.0,15886,,"Saint Elias Mountains, Yukon, Canada",", Saint Elias Mountains, Yukon, Canada","[39.109832, -76.480239]"
356,Mount Vancouver,4812.0,15787,,"Saint Elias Mountains, Yukon, Canada",", Saint Elias Mountains, Yukon, Canada","[60.358670000000075, -139.69782999999995]"
357,Sabalan,4811.0,15784,,Iran,", Iran","[18.9346826, 72.8347926]"
358,Mont Blanc,4810.0,15781,,"Mont Blanc massif, France/Italy – Highest in Alps",", Mont Blanc massif, France/Italy – Highest in Alps","[45.83300000000003, 6.864000000000033]"
359,Corazón,4790.0,15715,,"Andes, Ecuador",", Andes, Ecuador","[10.7273172, 124.0139188]"
360,Pichincha,4784.0,15696,,"Andes, Ecuador",", Andes, Ecuador","[-0.10921583951051474, -78.59223428634743]"
361,Jimara,4780.0,15682,,"Khokh Range, Caucasus Mountains, Georgia",", Khokh Range, Caucasus Mountains, Georgia","[49.129183, 17.0076728]"
362,Mount Churchill,4766.0,15636,,"Saint Elias Mountains, Alaska, US",", Saint Elias Mountains, Alaska, US","[36.578490000000045, -118.29193999999995]"
363,Puncak Mandala,4760.0,15617,,"Papua, Indonesia",", Papua, Indonesia","[-4.708309999999926, 140.28917]"
364,Klyuchevskaya Sopka,4750.0,15584,,"Kamchatka, Russia",", Kamchatka, Russia","[56.2616548, 160.7832814]"
365,Puncak Trikora,4750.0,15584,,"Papua, Indonesia",", Papua, Indonesia","[-4.262509999999963, 138.68112000000008]"
366,Mont Blanc de Courmayeur,4748.0,15577,,"Mont Blanc massif, France/Italy",", Mont Blanc massif, France/Italy","[45.7928365, 6.963281]"
367,Sunset Peak,4745.0,15568,,"Himalaya, Kashmir Valley, India (Jammu and Kashmir)",", Himalaya, Kashmir Valley, India (Jammu and Kashmir)","[56.37417000000005, -132.51721999999995]"
368,Mount Slaggard,4742.0,15558,,"Saint Elias Mountains, Canada",", Saint Elias Mountains, Canada","[61.172780000000046, -140.58443999999997]"
369,Pico Piedras Blancas,4740.0,15551,,"Sierra de la Culata, Andes, Venezuela",", Sierra de la Culata, Andes, Venezuela","[32.73932000000008, -16.681299999999965]"
370,Pico El Toro,4730.0,15518,,"Andes, Venezuela",", Andes, Venezuela","[8.351800000000026, -71.24740999999995]"
371,Tatakooti Peak,4725.0,15502,,"Himalaya, Kashmir Valley, India (Jammu and Kashmir)",", Himalaya, Kashmir Valley, India (Jammu and Kashmir)","[33.751730000000066, 74.46986000000004]"
372,Rumiñahui,4721.0,15489,,"Andes, Ecuador",", Andes, Ecuador","[-0.4012781534739659, -78.44317302195729]"
373,Pico El Leon,4720.0,15486,,"Andes, Venezuela",", Andes, Venezuela","[8.533330000000035, -71.06666999999999]"
374,Ushba,4710.0,15453,,"Caucasus Mountains, Svaneti, Georgia",", Caucasus Mountains, Svaneti, Georgia","[43.0446878, 42.728036]"
375,Volcán Domuyo,4709.0,15449,,"Andes, Argentina",", Andes, Argentina","[-36.63632999999993, -70.43197999999995]"
376,Pico Los Nevados,4700.0,15420,,"Andes, Venezuela",", Andes, Venezuela","[8.864670000000046, -70.92327999999998]"
377,Pico Pan de Azucar,4680.0,15354,,"Sierra de la Culata, Andes, Venezuela",", Sierra de la Culata, Andes, Venezuela","[-53.98721999999998, -71.46980999999994]"
378,Naltar Peak,4678.0,15348,,Pakistan,", Pakistan","[36.32426000000004, 74.03046000000006]"
379,Mount Fairweather,4663.0,15299,,"Fairweather Range, Alaska, US",", Fairweather Range, Alaska, US","[58.90618000000006, -137.52700999999996]"
380,Pico Mucuñuque,4660.0,15289,,"Andes, Venezuela",", Andes, Venezuela","[8.755330000000072, -70.80075999999997]"
381,Pico El Buitre,4650.0,15256,,"Andes, Venezuela",", Andes, Venezuela","[-33.216669999999965, -71.53332999999998]"
382,Khazret Sultan,4643.0,15233,,"Gissar Range, Uzbekistan",", Gissar Range, Uzbekistan","[47.8673829, -121.8098714]"
383,Sierra Negra,4640.0,15223,,Mexico,", Mexico","[19.0667242, -98.2929373]"
384,Dufourspitze (Monte Rosa),4634.0,15203,,"Pennine Alps, Switzerland – Highest point in Switzerland",", Pennine Alps, Switzerland – Highest point in Switzerland","[38.503802, -123.027222]"
385,Dunantspitze (Monte Rosa),4632.0,15197,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[38.503802, -123.027222]"
386,Nordend (Monte Rosa),4609.0,15121,,"Pennine Alps, Switzerland-Italy",", Pennine Alps, Switzerland-Italy","[38.503802, -123.027222]"
387,Mount Hubbard,4577.0,15016,,Saint Elias Mountains,", Saint Elias Mountains","[60.31871000000007, -139.07216]"
388,Nevado de Toluca,4577.0,15016,,Mexico,", Mexico","[18.1118697, -92.8670895]"
389,Mount Meru,4566.0,14980,,Tanzania,", Tanzania","[-15.3565722, 28.2764785]"
390,Zumsteinspitze (Monte Rosa),4563.0,14970,,"Pennine Alps, Switzerland-Italy",", Pennine Alps, Switzerland-Italy","[45.932150000000036, 7.87137000000007]"
391,Signalkuppe (Monte Rosa),4554.0,14941,,"Pennine Alps, Switzerland-Italy",", Pennine Alps, Switzerland-Italy","[45.92719000000005, 7.87707000000006]"
392,Dom,4545.0,14911,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[18.89668483400004, -70.49003617099999]"
393,Ras Dashen,4533.0,14872,,Ethiopia – Highest point in Ethiopia,", Ethiopia – Highest point in Ethiopia","[47.60776000000004, -122.29564799999997]"
394,Eastern Liskamm (Lyskamm),4533.0,14872,,"Pennine Alps, Switzerland-Italy",", Pennine Alps, Switzerland-Italy","[-16.998067499999998, -179.2946988999985]"
395,Mount Bear,4521.0,14833,,"Saint Elias Mountains, Alaska, US",", Saint Elias Mountains, Alaska, US","[61.28389000000004, -141.14221999999995]"
396,Mount Wilhelm,4509.0,14793,,"Bismarck Range, Papua New Guinea",", Bismarck Range, Papua New Guinea","[-5.7791599999999335, 145.02966000000004]"
397,Mount Karisimbi,4507.0,14787,,"Virunga Mountains, Rwanda/DRC",", Virunga Mountains, Rwanda/DRC","[-1.5077799999999684, 29.447220000000073]"
398,Mount Walsh,4507.0,14787,,"Saint Elias Mountains, Canada",", Saint Elias Mountains, Canada","[57.86634000000004, -124.83637999999996]"
399,Belukha Mountain,4506.0,14783,,"Altay Mountains, Russia",", Altay Mountains, Russia","[49.806670000000054, 86.59083000000004]"
400,Weisshorn,4506.0,14783,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[47.18333000000007, 12.383330000000058]"
401,Tebulosmta,4493.0,14741,,"Caucasus Mountains, Georgia/Chechnya, Russia",", Caucasus Mountains, Georgia/Chechnya, Russia","[42.57417000000004, 45.315000000000055]"
402,Täschhorn,4491.0,14734,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.08342000000005, 7.857180000000028]"
403,Bazarduzu Dagi,4485.0,14715,,Azerbaijan,", Azerbaijan","[41.234290000000044, 47.83674000000008]"
404,Matterhorn,4478.0,14692,,"Pennine Alps, Switzerland/Italy",", Pennine Alps, Switzerland/Italy","[45.9769138, 7.6583941]"
405,Mount Rutford,4477.0,14688,,"Sentinel Range, Ellsworth Mountains, Antarctica",", Sentinel Range, Ellsworth Mountains, Antarctica","[-78.59999999999997, -85.29999999999995]"
406,Mont Maudit,4465.0,14649,,"Mont Blanc massif, France/Italy",", Mont Blanc massif, France/Italy","[45.84779000000003, 6.875810000000058]"
407,Babis Mta,4454.0,14613,,"Caucasus Mountains, Georgia/Russia",", Caucasus Mountains, Georgia/Russia","[-34.7079354, -58.3880173]"
408,Mount Shani,4451.0,14603,,"Caucasus Mountains, Georgia/Russia",", Caucasus Mountains, Georgia/Russia","[29.6891, 34.8586]"
409,Dena,4448.0,14593,,"Zagros Mountains, Iran",", Zagros Mountains, Iran","[7.7350111, 13.5354725]"
410,Vladimir Putin Peak,4446.0,14587,,"Kyrgyz Alatau, Kyrgyzstan",", Kyrgyz Alatau, Kyrgyzstan","[42.02278000000007, 19.296110000000056]"
411,Mount Hunter,4442.0,14573,,"Alaska Range, Alaska, US",", Alaska Range, Alaska, US","[-34.0717278, 150.6374617]"
412,Parrotspitze (Monte Rosa),4432.0,14541,,"Pennine Alps, Switzerland-Italy",", Pennine Alps, Switzerland-Italy","[45.91975000000008, 7.87095000000005]"
413,La Malinche,4430.0,14534,,"Cordillera Neovolcanica, Mexico",", Cordillera Neovolcanica, Mexico","[19.4520655, -99.1059046]"
414,Mount Whitney,4421.0,14505,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[36.578490000000045, -118.29193999999995]"
415,Mount Alverstone,4420.0,14501,,"Saint Elias Mountains, Alaska, US/Yukon, Canada",", Saint Elias Mountains, Alaska, US/Yukon, Canada","[60.35171000000008, -139.07540999999998]"
416,University Peak,4411.0,14472,,"Saint Elias Mountains, Alaska, US",", Saint Elias Mountains, Alaska, US","[61.32750000000004, -141.78332999999998]"
417,Aello Peak,4403.0,14446,,"Saint Elias Mountains, Alaska, US",", Saint Elias Mountains, Alaska, US","[61.36528000000004, -141.89860999999996]"
418,Mount Elbert,4402.0,14442,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[39.11764000000005, -106.44532999999996]"
419,Mount Massive,4395.0,14419,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[39.18721000000005, -106.47530999999998]"
420,Mount Harvard,4395.0,14419,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[34.21334000000007, -118.06200999999999]"
421,Mount Rainier,4392.0,14409,,"Cascades, Washington, US",", Cascades, Washington, US","[46.85283000000004, -121.76048999999995]"
422,Apharwat Peak,4390.0,14403,,"Gulmarg, India (Jammu and Kashmir)",", Gulmarg, India (Jammu and Kashmir)","[34.01827, 74.346046]"
423,Kholeno,4387.0,14393,,"Alborz, Iran",", Alborz, Iran","[51.8684357, 44.1131845]"
424,Mount Williamson,4382.0,14377,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[36.65605000000005, -118.31119999999999]"
425,Tavan Bogd Uul,4374.0,14350,,"Bayan-Ölgii Province, Mongolia – Highest point in Mongolia",", Bayan-Ölgii Province, Mongolia – Highest point in Mongolia","[49.14985000000007, 87.73038000000008]"
426,Blanca Peak,4374.0,14350,,"Rocky Mountains, Colorado, US",", Rocky Mountains, Colorado, US","[37.57723000000004, -105.48583999999994]"
427,La Plata Peak,4372.0,14344,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[39.02944000000008, -106.47307999999998]"
428,Mount Giluwe,4368.0,14331,,Papua New Guinea,", Papua New Guinea","[-6.0499999999999545, 143.88333000000011]"
429,Burchula,4364.0,14318,,"Caucasus Mountains, Georgia",", Caucasus Mountains, Georgia","[62.6494267, 149.1021115]"
430,Uncompahgre Peak,4361.0,14308,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[38.071660000000065, -107.46199999999999]"
431,Dent Blanche,4357.0,14295,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.34424000000007, 7.260200000000054]"
432,Crestone Peak,4357.0,14295,,"Sangre de Cristo Range, Colorado, US",", Sangre de Cristo Range, Colorado, US","[37.96667000000008, -105.58528999999999]"
433,Mount Lincoln,4354.0,14285,,"Mosquito Range, Colorado, US",", Mosquito Range, Colorado, US","[39.106092, -108.383421]"
434,Azad Kuh,4355.0,14288,,"Alborz, Iran",", Alborz, Iran","[35.081480000000056, 66.66607000000005]"
435,Grays Peak,4350.0,14272,,"Front Range, Colorado, US",", Front Range, Colorado, US","[34.26084000000003, -116.97086999999999]"
436,Mount Evans,4350.0,14272,,"Front Range, Colorado, US",", Front Range, Colorado, US","[61.41194000000007, -146.15693999999996]"
437,Quandary Peak,4350.0,14272,,"Tenmile Range, Colorado, US",", Tenmile Range, Colorado, US","[39.39721000000003, -106.10640999999998]"
438,Lalveri,4350.0,14272,,"Caucasus Mountains, Svaneti, Georgia",", Caucasus Mountains, Svaneti, Georgia","[57.11296555600006, 24.271835000000067]"
439,Mount Antero,4349.0,14268,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[38.67389000000003, -106.24668999999994]"
440,Torreys Peak,4349.0,14268,,"Front Range, Colorado, US",", Front Range, Colorado, US","[39.64276000000007, -105.82139999999998]"
441,Castle Peak,4348.0,14265,,"Elk Mountains, Colorado, US",", Elk Mountains, Colorado, US","[61.59778000000006, -143.44360999999998]"
442,Longs Peak,4346.0,14259,,"Front Range, Colorado, US",", Front Range, Colorado, US","[40.254710000000046, -105.61583999999999]"
443,McArthur Peak,4344.0,14252,,"Saint Elias Mountains, Yukon",", Saint Elias Mountains, Yukon","[60.606310000000065, -140.21344]"
444,Mount Wilsion,4342.0,14245,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[38.256415, -114.442535]"
445,White Mountain Peak,4342.0,14245,,"White Mountains, California, US",", White Mountains, California, US","[37.63437000000005, -118.25566999999995]"
446,North Palisade,4341.0,14242,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[37.09417000000008, -118.51443999999998]"
447,Ludwigshöhe (Monte Rosa),4341.0,14242,,"Pennine Alps, Switzerland-Italy",", Pennine Alps, Switzerland-Italy","[38.503802, -123.027222]"
448,Mount Shavano,4337.0,14229,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[38.61889000000008, -106.23946999999998]"
449,Colima,4330.0,14206,,Mexico,", Mexico","[19.242922, -103.728119]"
450,Crestone Needle,4327.0,14196,,"Sangre de Cristo Range, Colorado, US",", Sangre de Cristo Range, Colorado, US","[37.96472000000006, -105.57667999999995]"
451,Mount Belford,4327.0,14196,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[38.96055000000007, -106.36113999999998]"
452,Mount Princeton,4327.0,14196,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[38.74944000000005, -106.24251999999996]"
453,Mount Shasta,4322.0,14180,,"California, US",", California, US","[41.40932000000004, -122.19500999999997]"
454,Mount Elgon,4321.0,14177,,Uganda-Kenya,", Uganda-Kenya","[0.9281055711698876, 34.59704167770336]"
455,Mount Bross,4320.0,14173,,"Mosquito Range, Colorado, US",", Mosquito Range, Colorado, US","[40.09221000000008, -106.13335999999998]"
456,Kit Carson Mountain,4318.0,14167,,"Sangre de Cristo Range, Colorado, US",", Sangre de Cristo Range, Colorado, US","[37.97972000000004, -105.60250999999994]"
457,Mount Wrangell,4317.0,14163,,"Alaska, US",", Alaska, US","[62.00694000000004, -144.01582999999997]"
458,Maroon Peak,4315.0,14157,,"Elk Mountains, Colorado, US",", Elk Mountains, Colorado, US","[39.070820000000026, -106.98920999999996]"
459,Tabeguache Peak,4315.0,14157,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[38.62528000000003, -106.25085999999999]"
460,El Diente Peak,4315.0,14157,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.839440000000025, -108.00534999999996]"
461,Mount Sill,4314.0,14154,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[37.09605000000005, -118.50350999999995]"
462,Grand Combin,4313.0,14150,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[45.7713836, 7.3106924]"
463,Mount Oxford (Colorado),4313.0,14150,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[38.96472000000006, -106.33890999999994]"
464,Mount Sneffels,4312.0,14147,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[38.00333000000006, -107.79227999999995]"
465,Mount Democrat,4312.0,14147,,"Mosquito Range, Colorado, US",", Mosquito Range, Colorado, US","[39.339710000000025, -106.14001999999999]"
466,Capitol Peak,4307.0,14131,,"Elk Mountains, Colorado, US",", Elk Mountains, Colorado, US","[39.15026000000006, -107.08309999999994]"
467,Pikes Peak,4302.0,14114,,"Front Range, Colorado, US",", Front Range, Colorado, US","[39.115571, -86.148368]"
468,Mount Russell,4296.0,14094,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[52.3022808, -8.5651051]"
469,Snowmass Mountain,4295.0,14091,,"Elk Mountains, Colorado, US",", Elk Mountains, Colorado, US","[39.11888000000005, -107.06643999999994]"
470,Lenzspitze,4294.0,14088,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.10454000000004, 7.868600000000072]"
471,Mount Eolus,4292.0,14081,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.62178000000006, -107.62268999999998]"
472,Windom Peak,4292.0,14081,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.62117000000006, -107.59187999999995]"
473,Challenger Point,4292.0,14081,,"Sangre de Cristo Range, Colorado, US",", Sangre de Cristo Range, Colorado, US","[37.98028000000005, -105.60667999999998]"
474,Mount Columbia,4291.0,14078,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[13.36719, -81.36663]"
475,Mount Adishi,4290.0,14075,,"Caucasus Mountains, Svaneti, Georgia",", Caucasus Mountains, Svaneti, Georgia","[42.996470000000045, 42.91479000000004]"
476,Mount Augusta,4290.0,14075,,"Saint Elias Mountains, Alaska, US",", Saint Elias Mountains, Alaska, US","[60.30576000000008, -140.45999999999998]"
477,Humboldt Peak (Colorado),4287.0,14065,,"Sangre de Cristo Range, Colorado, US",", Sangre de Cristo Range, Colorado, US","[37.97611000000006, -105.55528999999996]"
478,Split Mountain,4287.0,14065,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[37.02077000000003, -118.42231999999996]"
479,Mount Bierstadt,4286.0,14062,,"Front Range, Colorado, US",", Front Range, Colorado, US","[39.58277000000004, -105.66861999999998]"
480,Diklosmta,4285.0,14058,,"Caucasus Mountains, Tusheti, Georgia",", Caucasus Mountains, Tusheti, Georgia","[42.48939000000007, 45.77358000000004]"
481,Sunlight Peak,4285.0,14058,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[39.42637000000008, -107.38032999999996]"
482,Mount Sidley,4285.0,14058,,"Volcanic Seven Summits, Antarctica",", Volcanic Seven Summits, Antarctica","[38.2572544, -78.9594188]"
483,Missouri Mountain,4282.0,14049,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[36.757291416490965, -93.61172812525919]"
484,Culebra Peak,4282.0,14049,,"Colorado, US",", Colorado, US","[37.12224000000003, -105.18555999999995]"
485,Handies Peak,4281.0,14045,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.913050000000055, -107.50449999999995]"
486,Ellingwood Point,4280.0,14042,,"Sangre de Cristo Range, Colorado, US",", Sangre de Cristo Range, Colorado, US","[37.58250000000004, -105.49250999999998]"
487,Mount Lindsey,4280.0,14042,,"Sangre de Cristo Range, Colorado, US",", Sangre de Cristo Range, Colorado, US","[-34.4751512, 150.5569819]"
488,Little Bear Peak,4279.0,14039,,"Sangre de Cristo Range, Colorado, US",", Sangre de Cristo Range, Colorado, US","[34.291120000000035, -116.97030999999998]"
489,Mount Sherman,4278.0,14035,,"Mosquito Range, Colorado, US",", Mosquito Range, Colorado, US","[36.031049, -93.256194]"
490,Redcloud Peak,4277.0,14032,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.94083000000006, -107.42199999999997]"
491,Galeras,4276.0,14029,,"Andes, Columbia",", Andes, Columbia","[9.134789910246703, -74.98273943659491]"
492,Mount Langley,4275.0,14026,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[36.523270000000025, -118.23897999999997]"
493,Finsteraarhorn,4274.0,14022,,"Bernese Alps, Switzerland",", Bernese Alps, Switzerland","[46.53730000000007, 8.126170000000059]"
494,Pyramid Peak,4273.0,14019,,"Elk Mountains, Colorado, US",", Elk Mountains, Colorado, US","[53.84498000000008, -166.53693999999996]"
495,Mount Tyndall,4273.0,14019,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[36.65549000000004, -118.33703999999994]"
496,Wilson Peak,4272.0,14016,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.86027000000007, -107.98478999999998]"
497,Mount Muir,4272.0,14016,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[61.10806000000008, -148.37832999999998]"
498,San Luis Peak,4271.0,14012,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[38.72666000000004, -104.93246999999997]"
499,Wetterhorn Peak,4271.0,14012,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[38.060550000000035, -107.51088999999996]"
500,Middle Palisade,4271.0,14012,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[37.069930000000056, -118.47009999999995]"
501,Huron Peak,4269.0,14006,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[38.94527000000005, -106.43807999999996]"
502,Mount of the Holy Cross,4269.0,14006,,"Sawatch Range, Colorado, US",", Sawatch Range, Colorado, US","[39.46675000000005, -106.48163999999997]"
503,Thunderbolt Peak,4268.0,14003,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[37.09799000000004, -118.51760999999999]"
504,Sunshine Peak,4268.0,14003,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[34.64610000000005, -116.41279999999995]"
505,Mount Strickland,4260.0,13976,,"Saint Elias Mountains, Yukon, Canada",", Saint Elias Mountains, Yukon, Canada","[57.333330000000046, -154.06388999999996]"
506,Pigeon Peak,4259.0,13973,,"San Juan Mountains, Colorado, US",", San Juan Mountains, Colorado, US","[37.63250000000005, -107.64616999999998]"
507,Mount Kennedy,4250.0,13944,,"Saint Elias Mountains, Yukon, Canada",", Saint Elias Mountains, Yukon, Canada","[37.589440000000025, -107.62672999999995]"
508,Pointe Bayeux,4258.0,13970,,"Graian Alps, Mont Blanc massif, France",", Graian Alps, Mont Blanc massif, France","[49.204755162028995, -0.7207507254275404]"
509,Mont Blanc du Tacul,4248.0,13937,,"Graian Alps, Mont Blanc massif, France",", Graian Alps, Mont Blanc massif, France","[45.857300000000066, 6.88760000000002]"
510,Stecknadelhorn,4241.0,13914,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.111500000000035, 7.859470000000044]"
511,Avalanche Peak,4228.0,13871,,"Saint Elias Mountains, Yukon, Canada",", Saint Elias Mountains, Yukon, Canada","[36.76577000000003, -118.58203999999995]"
512,Castor,4223.0,13855,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[36.907914, -89.9359655]"
513,Zinalrothorn,4221.0,13848,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.06483000000003, 7.690120000000036]"
514,Volcán Tajumulco,4220.0,13845,,Guatemala,", Guatemala","[15.033300000000054, -91.89999999999998]"
515,Hohberghorn,4219.0,13842,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.50959000000006, 9.10298000000006]"
516,Turret Peak,4217.0,13835,,"Needle Mountains, Colorado, US",", Needle Mountains, Colorado, US","[34.24809000000005, -111.86486999999994]"
517,Mount Darwin,4216.0,13832,,"Sierra Nevada, California, US",", Sierra Nevada, California, US","[-16.571667475892575, 31.65392465616261]"
518,Mount Hayes,4216.0,13832,,"Alaska, US",", Alaska, US","[63.62000000000006, -146.71610999999996]"
519,Sacabaya,4215.0,13829,,Bolivia,", Bolivia","[-18.5721201, -68.787903]"
520,Grandes Jorasses,4208.0,13806,,"Mont Blanc massif, France/Italy",", Mont Blanc massif, France/Italy","[45.86372000000006, 6.959500000000048]"
521,Gannett Peak,4208.0,13806,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[43.18450000000007, -109.65410999999995]"
522,Mauna Kea,4207.0,13802,,"Hawaii, US",", Hawaii, US","[19.82361000000003, -155.47082999999998]"
523,Alphubel,4206.0,13799,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.06287000000003, 7.863840000000039]"
524,Cofre de Perote,4201.0,13783,,Mexico,", Mexico","[19.4966289, -97.1578674]"
525,Zard-Kuh,4200.0,13780,,"Zagros Mountains, Iran",", Zagros Mountains, Iran","[32.59611000000007, 49.79667000000006]"
526,Shah Alborz,4200.0,13780,,"Alborz, Iran",", Alborz, Iran","[35.943520000000035, 51.14655000000005]"
527,Rimpfischhorn,4199.0,13776,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.02312000000006, 7.883930000000021]"
528,Grand Teton,4199.0,13776,,"Teton Range, Wyoming, US",", Teton Range, Wyoming, US","[43.741250000000036, -110.80236999999994]"
529,Mount Cook,4196.0,13766,,"Saint Elias Mountains, Canada/US",", Saint Elias Mountains, Canada/US","[-41.30150999999995, 174.77476000000001]"
530,Aletschhorn,4192.0,13753,,"Bernese Alps, Switzerland",", Bernese Alps, Switzerland","[46.46515000000005, 7.993670000000066]"
531,Strahlhorn,4190.0,13747,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[46.45112000000006, 8.095140000000072]"
532,Fremont Peak,4189.0,13743,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[35.323060000000055, -111.66098999999997]"
533,Mount Warren,4182.0,13720,,"Wind River Range, Wyoming, US",", Wind River Range, Wyoming, US","[33.91755000000006, -109.58119999999997]"
534,Mount Sidley,4181.0,13717,,Antarctica,", Antarctica","[38.2572544, -78.9594188]"
535,Mount Abbot,4180.0,13714,,"California, US",", California, US","[37.38632000000007, -118.78483999999997]"
536,Dent d'Hérens,4171.0,13684,,"Pennine Alps, Switzerland",", Pennine Alps, Switzerland","[45.969940000000065, 7.605060000000037]"
537,Mauna Loa,4171.0,13684,,"Hawaii, US",", Hawaii, US","[47.6995016, 13.623787]"
